ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,amplitude,pct_chg,change,turnover_rate,pre_close,price_type,source,adj_factor,true_range,atr,entry_high,exit_low,entry_signal,channel_exit_signal,execution,exit_reason,fill_price,cash,shares,position,exposure,stop_price,transaction_cost,turnover,strategy_equity,strategy_return,market_return,benchmark_equity,drawdown,entry_window,exit_window,atr_window,stop_atr,risk_fraction
000858.SZ,五粮液,食品饮料,2019-01-02,25.32,23.66,25.52,23.55,232267,1174716784.0,8.01,-3.82,-0.94,0.61,,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,1.9699999999999989,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,20,10,20,2.0,0.01
000858.SZ,五粮液,食品饮料,2019-01-03,23.76,22.68,23.76,21.99,278030,1356928384.0,7.48,-4.14,-0.98,0.73,23.66,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,1.7700000000000031,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.041420118343195256,95857.98816568048,0.0,20,10,20,2.0,0.01
000858.SZ,五粮液,食品饮料,2019-01-04,21.95,23.26,23.5,21.72,241498,1185479552.0,7.85,2.56,0.58,0.64,22.68,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,1.7800000000000011,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.02557319223985899,98309.38292476755,0.0,20,10,20,2.0,0.01
000858.SZ,五粮液,食品饮料,2019-01-07,23.62,23.03,23.87,22.75,233797,1155244864.0,4.82,-0.99,-0.23,0.62,23.26,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,1.120000000000001,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.009888220120378377,97337.27810650888,0.0,20,10,20,2.0,0.01
000858.SZ,五粮液,食品饮料,2019-01-08,23.2,22.74,23.32,22.6,167844,824599216.0,3.13,-1.26,-0.29,0.44,23.03,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,0.7199999999999989,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.012592270950933626,96111.58072696535,0.0,20,10,20,2.0,0.01
000858.SZ,五粮液,食品饮料,2019-01-09,23.13,23.75,24.39,22.87,330785,1658874320.0,6.68,4.44,1.01,0.87,22.74,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,1.6500000000000021,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.04441512752858401,100380.3888419273,0.0,20,10,20,2.0,0.01
000858.SZ,五粮液,食品饮料,2019-01-10,23.6,23.58,23.87,22.95,186374,925758400.0,3.87,-0.72,-0.17,0.49,23.75,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,0.9200000000000017,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.007157894736842141,99661.8765849535,0.0,20,10,20,2.0,0.01
000858.SZ,五粮液,食品饮料,2019-01-11,23.77,24.41,24.49,23.44,247668,1247223824.0,4.45,3.52,0.83,0.65,23.58,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,1.0499999999999972,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.03519932145886351,103169.90701606085,0.0,20,10,20,2.0,0.01
000858.SZ,五粮液,食品饮料,2019-01-14,24.22,23.31,24.31,23.2,217801,1083865424.0,4.55,-4.51,-1.1,0.57,24.41,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,1.2100000000000009,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.04506349856616143,98520.71005917159,0.0,20,10,20,2.0,0.01
000858.SZ,五粮液,食品饮料,2019-01-15,23.47,26.69,26.82,23.23,500413,2572947456.0,15.4,14.5,3.38,1.32,23.31,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,3.59,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.14500214500214503,112806.42434488588,0.0,20,10,20,2.0,0.01
